s2_id,s2_token,num,name,lat,lng,encounter_ms,disppear_ms
-9182909561202278000,808fc068251,136,Flareon,37.5759509122,-121.970639371,1469522261220,1469521693109
-9182910158202733000,808fbfdd3a3,26,Raichu,37.5800350743,-122.017369961,-1,1469521693554
-9182910158202733000,808fbfdd3a3,26,Raichu,37.5800350743,-122.017369961,-1,1469521693555
-9182955543122149000,808f9696101,136,Flareon,37.620696302,-122.100032245,1469521717412,1469521698150
-9182942724792254000,808fa23e9f5,68,Machamp,37.496184848,-122.248062434,1469526339284,1469525737214
-9182942724792254000,808fa23e9f5,68,Machamp,37.496184848,-122.248062434,1469526339284,1469525737272
-9182942724792254000,808fa23e9f5,68,Machamp,37.496184848,-122.248062434,1469526339284,1469525737269
-9182942724792254000,808fa23e9f5,68,Machamp,37.496184848,-122.248062434,1469526339284,1469525798092
-9182942724792254000,808fa23e9f5,68,Machamp,37.496184848,-122.248062434,1469526339284,1469525798249
-9182942724792254000,808fa23e9f5,68,Machamp,37.496184848,-122.248062434,1469526339284,1469525798249
-9182942301737976000,808fa2a1473,148,Dragonair,37.5320567008,-122.19265261,1469526527404,1469525805045
-9182942301737976000,808fa2a1473,148,Dragonair,37.5320567008,-122.19265261,1469526527404,1469525805453
-9182982743150035000,808f7dd96a1,97,Hypno,37.7372432652,-122.451279736,1469525919716,1469525873440
-9182982743150035000,808f7dd96a1,97,Hypno,37.7372432652,-122.451279736,1469525919716,1469525873619
-9182926874215449000,808fb0a9359,136,Flareon,37.4086245152,-122.090890104,1469527692868,1469526966223
-9182926874215449000,808fb0a9359,136,Flareon,37.4086245152,-122.090890104,1469527692868,1469526968063
-9182961815921885000,808f90e1a0d,38,Ninetales,37.6532590017,-122.131890562,1469527727156,1469527274571
-9182961815921885000,808f90e1a0d,38,Ninetales,37.6532590017,-122.131890562,1469527727156,1469527274717
-9182960995583132000,808f91a0917,5,Charmeleon,37.6764960101,-122.110238578,1469527541628,1469527278982
-9182960995583132000,808f91a0917,5,Charmeleon,37.6764960101,-122.110238578,1469527541628,1469527279064
-9182960995583132000,808f91a0917,5,Charmeleon,37.6764960101,-122.110238578,1469527541628,1469527279228
-9182960478039572000,808f9219239,31,Nidoqueen,37.7076618527,-122.076953512,1469527876420,1469527285130
-9182960478039572000,808f9219239,31,Nidoqueen,37.7076618527,-122.076953512,1469527876420,1469527285135
